State	State Code	ZCTA	Congressional District Number	CD	2016 House Margin
MN	27	56436	8	MN8	0.6
MN	27	56441	8	MN8	0.6
MN	27	56442	8	MN8	0.6
MN	27	56443	8	MN8	0.6
MN	27	56444	8	MN8	0.6
MN	27	56447	8	MN8	0.6
MN	27	56448	8	MN8	0.6
MN	27	56449	8	MN8	0.6
MN	27	56450	8	MN8	0.6
MN	27	56452	8	MN8	0.6
MN	27	56455	8	MN8	0.6
MN	27	56456	8	MN8	0.6
MN	27	56458	8	MN8	0.6
MN	27	56461	8	MN8	0.6
MN	27	56464	8	MN8	0.6
MN	27	56465	8	MN8	0.6
MN	27	56466	8	MN8	0.6
MN	27	56467	8	MN8	0.6
MN	27	56468	8	MN8	0.6
MN	27	56469	8	MN8	0.6
MN	27	56470	8	MN8	0.6
MN	27	56472	8	MN8	0.6
MN	27	56473	8	MN8	0.6
MN	27	56474	8	MN8	0.6
MN	27	56475	8	MN8	0.6
MN	27	56477	8	MN8	0.6
MN	27	56479	8	MN8	0.6
MN	27	56481	8	MN8	0.6
MN	27	56482	8	MN8	0.6
MN	27	56484	8	MN8	0.6
MN	27	56601	8	MN8	0.6
MN	27	56623	8	MN8	0.6
MN	27	56626	8	MN8	0.6
MN	27	56627	8	MN8	0.6
MN	27	56628	8	MN8	0.6
MN	27	56629	8	MN8	0.6
MN	27	56630	8	MN8	0.6
MN	27	56633	8	MN8	0.6
MN	27	56636	8	MN8	0.6
MN	27	56637	8	MN8	0.6
MN	27	56639	8	MN8	0.6
MN	27	56641	8	MN8	0.6
MN	27	56647	8	MN8	0.6
MN	27	56649	8	MN8	0.6
MN	27	56650	8	MN8	0.6
MN	27	56653	8	MN8	0.6
MN	27	56654	8	MN8	0.6
MN	27	56655	8	MN8	0.6
MN	27	56657	8	MN8	0.6
MN	27	56658	8	MN8	0.6
MN	27	56659	8	MN8	0.6
MN	27	56660	8	MN8	0.6
MN	27	56661	8	MN8	0.6
MN	27	56662	8	MN8	0.6
MN	27	56663	8	MN8	0.6
MN	27	56667	8	MN8	0.6
MN	27	56668	8	MN8	0.6
MN	27	56669	8	MN8	0.6
MN	27	56670	8	MN8	0.6
MN	27	56672	8	MN8	0.6
MN	27	56678	8	MN8	0.6
MN	27	56680	8	MN8	0.6
MN	27	56681	8	MN8	0.6
MN	27	56683	8	MN8	0.6
MN	27	56688	8	MN8	0.6
MN	27	51360	1	MN1	0.7
MN	27	55019	1	MN1	0.7
MN	27	55021	1	MN1	0.7
MN	27	55046	1	MN1	0.7
MN	27	55049	1	MN1	0.7
MN	27	55052	1	MN1	0.7
MN	27	55057	1	MN1	0.7
MN	27	55060	1	MN1	0.7
MN	27	55087	1	MN1	0.7
MN	27	55088	1	MN1	0.7
MN	27	55332	1	MN1	0.7
MN	27	55333	1	MN1	0.7
MN	27	55334	1	MN1	0.7
MN	27	55335	1	MN1	0.7
MN	27	55901	1	MN1	0.7
MN	27	55902	1	MN1	0.7
MN	27	55904	1	MN1	0.7
MN	27	55905	1	MN1	0.7
MN	27	55906	1	MN1	0.7
MN	27	55909	1	MN1	0.7
MN	27	55910	1	MN1	0.7
MN	27	55912	1	MN1	0.7
MN	27	55917	1	MN1	0.7
MN	27	55918	1	MN1	0.7
MN	27	55919	1	MN1	0.7
MN	27	55920	1	MN1	0.7
MN	27	55921	1	MN1	0.7
MN	27	55922	1	MN1	0.7
MN	27	55923	1	MN1	0.7
MN	27	55924	1	MN1	0.7
MN	27	55925	1	MN1	0.7
MN	27	55926	1	MN1	0.7
MN	27	55927	1	MN1	0.7
MN	27	55929	1	MN1	0.7
MN	27	55931	1	MN1	0.7
MN	27	55932	1	MN1	0.7
MN	27	55933	1	MN1	0.7
MN	27	55934	1	MN1	0.7
MN	27	55935	1	MN1	0.7
MN	27	55936	1	MN1	0.7
MN	27	55939	1	MN1	0.7
MN	27	55940	1	MN1	0.7
MN	27	55941	1	MN1	0.7
MN	27	55943	1	MN1	0.7
MN	27	55944	1	MN1	0.7
MN	27	55947	1	MN1	0.7
MN	27	55949	1	MN1	0.7
MN	27	55950	1	MN1	0.7
MN	27	55951	1	MN1	0.7
